date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
1/1/2022,ROU,RON,Romania,10.6,4.4119,2.402592987,12867.64,3.449049842,-0.36018,-0.38186,-0.35236,-0.08074,-0.38923
1/1/2022,RUS,RUB,Russia,135,77.4175,1.743791778,10115.35,3.346165841,-0.52134,-0.53756,-0.51549,-0.31229,-0.54308
1/1/2022,SAU,SAR,Saudi Arabia,15,3.7519,3.99797436,19995.7,3.715505531,-0.01168,-0.04516,4.00E-04,0.41998,-0.05655
1/1/2022,SGP,SGD,Singapore,5.9,1.35215,4.363421218,59794.6,5.203237585,-0.22975,-0.25585,-0.22034,0.10666,-0.26472
1/1/2022,ZAF,ZAR,South Africa,39.9,15.47,2.57918552,5624.5,3.178292319,-0.25464,-0.27989,-0.24553,0.0709,-0.28848
1/1/2022,KOR,KRW,South Korea,4600,1205.5,3.815844048,31638.46,4.150726284,-0.15561,-0.18422,-0.14529,0.21318,-0.19395
1/1/2022,LKA,LKR,Sri Lanka,840,202.41,4.149992589,3681.55,3.105662448,0.22736,0.18577,0.24236,0.76341,0.17163
1/1/2022,SWE,SEK,Sweden,54,9.3341,5.78523907,52129.13,4.916692845,0.08075,0.04413,0.09396,0.55277,0.03168
1/1/2022,CHE,CHF,Switzerland,6.5,0.93105,6.981365125,87366.6,6.23391301,0.02862,-0.00623,0.0412,0.47788,-0.01808
1/1/2022,TWN,TWD,Taiwan,75,27.814,2.696483785,28358.3,4.028109851,-0.38514,-0.40598,-0.37763,-0.1166,-0.41306
1/1/2022,THA,THB,Thailand,128,33.295,3.844421084,7187.86,3.236732648,0.09094,0.05398,0.10427,0.56741,0.04141
1/1/2022,TUR,TRY,Turkey,24.99,13.4155,1.862770676,8610.03,3.289895119,-0.47994,-0.49756,-0.47358,-0.2528,-0.50355
1/1/2022,UKR,UAH,Ukraine,69,28.3673,2.432378126,3741.06,3.107887005,-0.28114,-0.3055,-0.27236,0.03282,-0.31378
1/1/2022,ARE,AED,United Arab Emirates,17,3.67305,4.628306176,38661.18,4.413244235,-0.03675,-0.06938,-0.02497,0.38396,-0.08048
1/1/2022,USA,USD,United States,5.81,1,5.81,63358.49,5.336460196,0,-0.03388,0.01222,0.43675,-0.0454
1/1/2022,URY,UYU,Uruguay,239,44.0355,5.427439225,16023.35,3.56701418,0.39755,0.3502,0.41463,1.00793,0.3341
1/1/2022,VNM,VND,Vietnam,69000,22650,3.046357616,3522.51,3.099717336,-0.09732,-0.1279,-0.08628,0.29694,-0.1383
